TITULO;PRECIO;ENVIO;ESTADO;CALIFICACION;LINK
Apple iPhone 13 Pro (512 GB) - Azul Sierra;$794.620;Envío gratis;Nuevo;27;https://www.mercadolibre.com.ar/apple-iphone-13-pro-512-gb-azul-sierra/p/MLA18494255?pdp_filters=category:MLA1055#searchVariation=MLA18494255&position=4&search_layout=stack&type=product&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Apple iPhone 13 Pro (512 GB) - Azul Sierra;$794.620;Envío gratis;Nuevo;27;https://www.mercadolibre.com.ar/apple-iphone-13-pro-512-gb-azul-sierra/p/MLA18494255?pdp_filters=category:MLA1055#searchVariation=MLA18494255&position=4&search_layout=stack&type=product&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Apple iPhone 13 Pro (128 Gb) - Grafito Gtia Oficial C;$809.990;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1122542229-apple-iphone-13-pro-128-gb-grafito-gtia-oficial-c-_JM#position=32&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Apple iPhone 13 Pro (128 Gb) - Grafito Gtia Oficial C;$809.990;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1122542229-apple-iphone-13-pro-128-gb-grafito-gtia-oficial-c-_JM#position=32&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 14 Pro Max 512 Gb Caja Sellada 1 Año Garantia Apple;$869.990;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1188937841-iphone-14-pro-max-512-gb-caja-sellada-1-ano-garantia-apple-_JM#position=47&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 14 Pro Max 512 Gb Caja Sellada 1 Año Garantia Apple;$869.990;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1188937841-iphone-14-pro-max-512-gb-caja-sellada-1-ano-garantia-apple-_JM#position=47&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 6s 128gb Space Gray Cargador Cable Funda Glass Premiu;$91.668;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1349032569-iphone-6s-128gb-space-gray-cargador-cable-funda-glass-premiu-_JM#position=24&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 6s 128gb Space Gray Cargador Cable Funda Glass Premiu;$91.668;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1349032569-iphone-6s-128gb-space-gray-cargador-cable-funda-glass-premiu-_JM#position=24&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 6 Plus 16gb Space Gray Cargador Cable Funda Glass Cuo;$92.369;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146889080-iphone-6-plus-16gb-space-gray-cargador-cable-funda-glass-cuo-_JM#position=26&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 6 Plus 16gb Space Gray Cargador Cable Funda Glass Cuo;$92.369;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146889080-iphone-6-plus-16gb-space-gray-cargador-cable-funda-glass-cuo-_JM#position=26&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Apple iPhone 12 (256 GB) - Negro;$969.999;Envío gratis;Nuevo;97;https://www.mercadolibre.com.ar/apple-iphone-12-256-gb-negro/p/MLA16163658?pdp_filters=category:MLA1055#searchVariation=MLA16163658&position=3&search_layout=stack&type=product&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Apple iPhone 12 (256 GB) - Negro;$969.999;Envío gratis;Nuevo;97;https://www.mercadolibre.com.ar/apple-iphone-12-256-gb-negro/p/MLA16163658?pdp_filters=category:MLA1055#searchVariation=MLA16163658&position=3&search_layout=stack&type=product&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Apple iPhone 13 Pro 1 Tera-incluye Cargador-1 Año Garantia;$999.990;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1121301326-apple-iphone-13-pro-1-tera-incluye-cargador-1-ano-garantia-_JM#position=50&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Apple iPhone 13 Pro 1 Tera-incluye Cargador-1 Año Garantia;$999.990;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-1121301326-apple-iphone-13-pro-1-tera-incluye-cargador-1-ano-garantia-_JM#position=50&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
