TITULO;PRECIO;ENVIO;ESTADO;LINK
"Notebook Lenovo IdeaPad 5 14IIL05 graphite gray 14"", Intel Core i3 1005G1  4GB de RAM 256GB SSD, Intel UHD Graphics G1 (Ice Lake 32 EU) 1920x1080px Windows 10 Home";$169.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-5-14iil05-graphite-gray-14-intel-core-i3-1005g1-4gb-de-ram-256gb-ssd-intel-uhd-graphics-g1-ice-lake-32-eu-1920x1080px-windows-10-home/p/MLA21204025?pdp_filters=category:MLA1652#searchVariation=MLA21204025&position=39&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook HP 14-dq2024la plateada natural 14"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1366x768px Windows 10 Home";$169.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-hp-14-dq2024la-plateada-natural-14-intel-core-i3-1115g4-8gb-de-ram-256gb-ssd-intel-uhd-graphics-xe-g4-48eus-1366x768px-windows-10-home/p/MLA18608724?pdp_filters=category:MLA1652#searchVariation=MLA18608724&position=24&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Lenovo IdeaPad 15IIL05  almond táctil 15.6"", Intel Core i3 1005G1  8GB de RAM 256GB SSD, Intel UHD Graphics G1 1366x768px Windows 10 Home";$170.000;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-15iil05-almond-tactil-156-intel-core-i3-1005g1-8gb-de-ram-256gb-ssd-intel-uhd-graphics-g1-1366x768px-windows-10-home/p/MLA18619162?pdp_filters=category:MLA1652#searchVariation=MLA18619162&position=26&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Dell Vostro 3401 I3 1005g1 8gb Ssd 256gb W11p Ms365;$170.990;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-dell-vostro-3401-i3-1005g1-8gb-ssd-256gb-w11p-ms365/p/MLA21079199?pdp_filters=category:MLA1652#searchVariation=MLA21079199&position=27&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Chromebook Educativa Asus C204 Intel N4020 4gb 64gb Chrome;$174.999;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1266768599-chromebook-educativa-asus-c204-intel-n4020-4gb-64gb-chrome-_JM#position=54&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Dell Inspiron I3 8gb 256gb 15 Win11;$189.999;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1288019309-notebook-dell-inspiron-i3-8gb-256gb-15-win11-_JM#position=47&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo I5 1035g1 8gb Ram 256 Gb Ssd 14 Pulgadas Full Hd Windows 10 Home V14 Iil (82c401j6us);$189.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-lenovo-i5-1035g1-8gb-ram-256-gb-ssd-14-pulgadas-full-hd-windows-10-home-v14-iil-82c401j6us/p/MLA20908183?pdp_filters=category:MLA1652#searchVariation=MLA20908183&position=2&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Hp 15-dy2061la Intel Core I3 1125g4 8gb 256gb Win11;$199.000;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1308217109-notebook-hp-15-dy2061la-intel-core-i3-1125g4-8gb-256gb-win11-_JM#position=44&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Dell Inspiron 3515 plateada 15.5"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1366x768px Windows 11 Home";$200.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-dell-inspiron-3515-plateada-155-amd-ryzen-5-3450u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-8-ryzen-20003000-1366x768px-windows-11-home/p/MLA19034498?pdp_filters=category:MLA1652#searchVariation=MLA19034498&position=4&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Hp I5 1135g7 12gb 256gb Ssd 15.6 Fhd Ips Windows;$219.500;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-hp-i5-1135g7-12gb-256gb-ssd-156-fhd-ips-windows/p/MLA19776241?pdp_filters=category:MLA1652#searchVariation=MLA19776241&position=6&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
